Image Number,Scientific Name,Common Name,Subject Display Name,Host Name,Host Scientific Name,Descriptor Name,Photographer,Organization,Orientation,Citation,Max Resolution,Image URL,Location (State),Location,NormCrop,NormDisease,StateLat,StateLon,AezCode
5581651,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Sign,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581651.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581657,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581657.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581658,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Sign,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581658.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581659,Athelia rolfsii,southern blight,southern blight (Athelia rolfsii (Curzi) C.C. Tu & Kimbr.),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,potrait,"Edward Sikora, Auburn University, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5581659.jpg,us_1,Alabama,Soybean,Southern Blight,32.806671,-86.791130,STM
5581645,Cercospora kikuchii,Cercospora blight,Cercospora blight (Cercospora kikuchii (Mastsumoto & Tomoyasu) M.W. Gardner),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581645.jpg,us_1,Alabama,Soybean,Cercospora Blight,32.806671,-86.791130,STM
5581646,Cercospora kikuchii,Cercospora blight,Cercospora blight (Cercospora kikuchii (Mastsumoto & Tomoyasu) M.W. Gardner),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581646.jpg,us_1,Alabama,Soybean,Cercospora Blight,32.806671,-86.791130,STM
5582257,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582257.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5582258,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582258.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5582259,Cercospora sojina,frogeye leaf spot,frogeye leaf spot (Cercospora sojina K. Hara),soybean,Glycine max,Sign,Brian Ward,,landscape,"Brian Ward, Louisiana State University AgCenter, Bugwood.org ",5,https://bugwoodcloud.org/images/3072x2048/5582259.jpg,us_1,Alabama,Soybean,Frogeye Leaf Spot,32.806671,-86.791130,STM
5581647,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581647.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5581648,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581648.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
5581649,Comovirus Bean Pod Mottle Virus,Bean Pod Mottle Virus (BPMV),Bean Pod Mottle Virus (BPMV) (Comovirus Bean Pod Mottle Virus),soybean,Glycine max,Symptoms,Edward Sikora,Auburn University,landscape,"Edward Sikora, Auburn University, Bugwood.org ",3,https://bugwoodcloud.org/images/768x512/5581649.jpg,us_1,Alabama,Soybean,Bean Pod Mottle Virus,32.806671,-86.791130,STM
