crop	disease	candidate_rows	kept_rows
Corn	Corn Smut	61	61
Soybean	Sclerotinia Timber Rot	59	59
Soybean	Cercospora Blight	54	54
Soybean	Downy Mildew	35	35
Corn	Northern Corn Leaf Blight	33	33
Soybean	Soybean Rust	32	32
Soybean	Charcoal Rot	26	26
Corn	White Ear Rot And Seedling Blight Of Maize	26	26
Soybean	Frogeye Leaf Spot	23	23
Soybean	Bean Pod Mottle Virus	22	22
Soybean	Bacterial Pustule Of Soybean Disease	21	21
Corn	Gray Leaf Spot	20	20
Soybean	Southern Blight	19	19
Soybean	Bacterial Blight	18	18
Soybean	Root And Stem Rot	16	16
Corn	Goss' Bacterial Wilt	16	16
Corn	Southern Corn Rust	15	15
